1
AABJ
B
SY1PB
规格,内腰围,臀围,立档,中档,脚口,前浪,后浪,横档
42,72,96.7,25.5,23,20.9,26.6,39.1,31.4
43,74,98.5,25.7,23.3,21,26.9,39.5,31.8
44,76,100.3,25.9,23.6,21.2,27.1,39.8,32.3
45,78,102.1,26.1,23.9,21.3,27.4,40.2,32.8
46,80,103.9,26.3,24.2,21.5,27.6,40.5,33.2
47,82,105.7,26.5,24.5,21.6,27.9,40.9,33.7
48,84,107.5,26.7,24.8,21.8,28.2,41.3,34.2
49,86,109.3,26.9,25.1,21.9,28.4,41.6,34.6
50,88,111.1,27.1,25.4,22.1,28.7,42,35.1
51,90,112.8,27.3,25.7,22.2,28.9,42.3,35.5
52,92,114.6,27.5,26,22.4,29.2,42.7,36
53,94,116.4,27.7,26.3,22.5,29.4,43,36.5
54,96,118.2,27.9,26.6,22.7,29.7,43.4,36.9
55,98,120,28.1,26.9,22.8,30,43.7,37.4
56,100,121.8,28.3,27.2,23,30.2,44.1,37.9
57,102,123.6,28.5,27.5,23.1,30.5,44.4,38.3
58,104,125.4,28.7,27.8,23.3,30.7,44.8,38.8
59,106,127.2,28.9,28.1,23.4,31,45.1,39.2
60,108,129,29.1,28.4,23.6,31.2,45.5,39.6
61,110,130.8,29.3,28.7,23.7,31.5,45.8,40.1
62,112,132.6,29.5,29,23.9,31.8,46.2,40.5
63,114,134.4,29.7,29.3,24,32.07,46.5,41
64,116,136.2,29.9,29.6,24.2,32.3,46.9,41.4
65,118,138,30.1,29.9,24.4,32.6,47.3,41.9
