0
ABDM
D
欧美修身规格表-短版
部位,领围,肩宽,衣长,胸围,腰围,摆围,袖长,袖口,臂围,袖笼
160/76,36,40.8,72,92,82,88,22,31,36.5,43.5
165/80,37,42,74,96,86,92,23,32,37.7,45
170/84,38,43.2,76,100,90,96,24,33,38.9,46.5
170/88,39,44.4,76,104,94,100,24,34,40.1,48
175/92,40,45.6,78,108,98,104,25,35,41.3,49.7
175/96,41,46.8,78,112,102,108,25,36,42.5,51.1
180/100,42,48,80,116,106,112,26,37,43.7,52.5
180/104,43,49.2,80,120,110,116,26,38,44.9,54
185/108,44,50.4,82,124,114,120,27,39,46.1,55.5
185/112,45,51.6,82,128,118,124,27,40,47.3,57
190/116,46,52.8,84,132,122,128,28,41,48.5,58.4
190/120,47,54,84,136,126,132,28,42,49.7,60
